# p2p microbenchmark: sweep message size from 0B to 50000B
# ./submit-clusterperf 2 2 clusterperf.py -r 0 --disjunct --transport basic+ofiud point2point --verbose --cpusPerServer 10 --servers 2 --count 100000 --size 50000

#     nodes  size (B)       ops       min       p50       p90       p99
          2     38100    100000     10.26     11.99     13.11     15.33
          2     38200    100000     10.10     11.88     13.01     14.68
          2     38300    100000     10.39     12.05     13.16     14.85
          2     38400    100000     10.20     12.06     13.19     15.35
          2     38500    100000     10.24     12.08     13.21     15.55
          2     38600    100000     10.08     11.93     13.06     14.84
          2     38700    100000     10.15     12.05     13.18     14.78
          2     38800    100000     10.19     11.97     13.08     14.78
          2     38900    100000     10.43     12.09     13.21     15.05
          2     39000    100000     10.00     11.99     13.11     14.97
          2     39100    100000     10.50     12.21     13.31     15.05
          2     39200    100000     10.30     12.06     13.18     14.87
          2     39300    100000     10.28     12.08     13.21     15.56
          2     39400    100000     10.28     12.10     13.23     15.33
          2     39500    100000     10.23     12.08     13.20     14.87
          2     39600    100000     10.38     12.12     13.25     15.06
          2     39700    100000     10.38     12.23     13.36     15.64
          2     39800    100000     10.44     12.24     13.39     15.73
          2     39900    100000     10.49     12.21     13.34     15.14
          2     40000    100000     10.41     12.23     13.35     15.12
          2     40100    100000     10.64     12.32     13.46     15.66
          2     40200    100000     10.40     12.17     13.29     15.20
          2     40300    100000     10.37     12.20     13.35     15.16
          2     40400    100000     10.32     12.19     13.31     15.09
          2     40500    100000     10.19     12.11     13.22     15.17
          2     40600    100000     10.55     12.22     13.35     15.36
          2     40700    100000     10.70     12.32     13.44     15.16
          2     40800    100000     10.69     12.29     13.44     15.41
          2     40900    100000     10.70     12.46     13.66     15.96
          2     41000    100000     10.39     12.29     13.50     15.33
          2     41100    100000     10.46     12.33     13.54     15.22
          2     41200    100000     10.49     12.25     13.45     15.16
          2     41300    100000     10.66     12.38     13.59     15.53
          2     41400    100000     10.65     12.47     13.65     15.46
          2     41500    100000     10.62     12.45     13.63     15.39
          2     41600    100000     10.68     12.40     13.61     15.36
          2     41700    100000     10.63     12.43     13.63     15.57
          2     41800    100000     10.57     12.38     13.56     15.40
          2     41900    100000     10.52     12.33     13.55     15.37
          2     42000    100000     10.76     12.48     13.68     15.95
          2     42100    100000     10.86     12.57     13.77     15.84
          2     42200    100000     10.60     12.38     13.58     15.34
          2     42300    100000     10.48     12.32     13.54     15.38
          2     42400    100000     10.48     12.35     13.55     15.40
          2     42500    100000     10.76     12.58     13.76     15.92
          2     42600    100000     10.71     12.42     13.60     15.33
          2     42700    100000     10.59     12.32     13.55     15.33
          2     42800    100000     10.69     12.44     13.63     15.50
          2     42900    100000     10.55     12.38     13.60     15.49
          2     43000    100000     10.57     12.48     13.67     15.61
          2     43100    100000     10.54     12.38     13.61     15.83
          2     43200    100000     10.48     12.41     13.61     15.42
          2     43300    100000     10.64     12.47     13.68     15.74
          2     43400    100000     10.72     12.47     13.65     15.44
          2     43500    100000     10.42     12.42     13.61     15.12
          2     43600    100000     10.67     12.47     13.67     15.44
          2     43700    100000     10.69     12.45     13.65     15.86
          2     43800    100000     10.48     12.36     13.57     15.28
          2     43900    100000     10.45     12.40     13.62     15.30
          2     44000    100000     10.59     12.44     13.64     15.50
          2     44100    100000     10.59     12.48     13.70     16.16
          2     44200    100000     10.54     12.35     13.54     15.42
          2     44300    100000     10.34     12.33     13.54     15.22
          2     44400    100000     10.49     12.33     13.55     15.50
          2     44500    100000     10.39     12.42     13.62     15.58
          2     44600    100000     10.37     12.33     13.53     15.51
          2     44700    100000     10.53     12.46     13.67     15.40
          2     44800    100000     10.72     12.65     13.84     15.62
          2     44900    100000     10.96     12.79     14.01     15.91
          2     45000    100000     10.83     12.72     13.93     16.07
          2     45100    100000     11.04     12.95     14.25     16.65
          2     45200    100000     10.97     12.80     14.02     16.19
          2     45300    100000     10.88     12.71     13.93     15.84
          2     45400    100000     10.98     12.75     13.98     16.03
          2     45500    100000     10.76     12.70     13.92     15.92
          2     45600    100000     11.02     12.88     14.10     15.82
          2     45700    100000     11.05     12.94     14.25     16.12
          2     45800    100000     10.92     12.85     14.08     16.31
          2     45900    100000     11.02     12.95     14.28     16.54
          2     46000    100000     10.85     12.85     14.18     16.06
          2     46100    100000     11.03     12.94     14.20     15.93
          2     46200    100000     10.81     12.85     14.18     16.41
          2     46300    100000     11.13     13.02     14.30     16.63
          2     46400    100000     11.18     13.16     14.59     16.56
          2     46500    100000     10.85     12.88     14.21     16.12
          2     46600    100000     10.78     12.85     14.11     16.55
          2     46700    100000     11.02     13.14     14.66     17.00
          2     46800    100000     10.89     12.78     14.03     15.67
          2     46900    100000     11.17     13.22     14.77     16.67
          2     47000    100000     11.22     13.14     14.47     16.97
          2     47100    100000     11.16     13.22     14.73     17.00
          2     47200    100000     10.97     12.88     14.15     15.74
          2     47300    100000     11.12     13.05     14.38     16.18
          2     47400    100000     11.22     13.30     14.82     16.97
          2     47500    100000     11.13     13.13     14.48     16.68
          2     47600    100000     11.00     13.18     14.83     16.88
          2     47700    100000     11.24     13.12     14.51     16.62
          2     47800    100000     11.39     13.39     14.99     17.24
          2     47900    100000     11.25     13.48     15.22     17.26
          2     48000    100000     11.09     13.09     14.45     16.45
          2     48100    100000     11.22     13.28     14.72     16.93
          2     48200    100000     11.43     13.57     15.21     17.36
          2     48300    100000     11.46     13.69     15.34     17.66
          2     48400    100000     10.99     13.52     15.22     17.41
          2     48500    100000     11.22     13.46     15.08     17.22
          2     48600    100000     11.51     13.58     14.99     17.02
          2     48700    100000     11.27     13.85     15.66     17.72
          2     48800    100000     11.33     13.79     15.59     17.68
          2     48900    100000     11.21     13.43     14.96     17.09
          2     49000    100000     12.06     15.91     17.48     19.78
          2     49100    100000     11.95     15.60     17.23     19.59
          2     49200    100000     12.19     16.03     17.85     20.03
          2     49300    100000     12.10     15.89     17.69     19.99
          2     49400    100000     12.08     16.01     17.80     20.25
          2     49500    100000     12.00     15.90     17.56     19.85
          2     49600    100000     12.15     16.00     17.72     20.09
          2     49700    100000     12.18     16.00     17.58     19.85
          2     49800    100000     11.88     16.30     18.16     20.41
          2     49900    100000     12.03     16.28     18.08     20.22
